id,input,output,source,letter,language,notes
1,Ada ya mja hunena muungwana ni kitendo,The behavior of a person shows whether they are a gentleman.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
2,Adhabu ya kaburi aijuaye maiti,Only the dead know the punishment of the grave.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
3,"Adui wa mtu ni mtu, adui mpende, adui aangukapo mnyanyue","An enemy is still a person. Love your enemy, and help them up when they fall.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
4,Afadhali ya Musa kuliko ya Firauni,It is better to be poor than rich if you are unhappy.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
5,Afya ni bora kuliko mali,Health is more important than wealth.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
6,Ahadi ni deni,A promise is a debt.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
7,Aibu ya maiti aijuaye mwosha,Only the person who washes the corpse knows its shame.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
8,Aisifuye mvua imemnyea,He who praises rain has been rained on.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
9,Alisifuye jua limemwangaza,He who praises the sun has been warmed by it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
10,Ajali haina kinga,Accidents cannot be prevented.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
11,Ajizi ni nyumba ya njaa,Laziness is the home of hunger.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
12,"Akiba halozi, akiba si mbi ijapokuwa ya kumbi, siku ya kivumbi hutiwa motoni","Savings are not bad, even if they are only coconut fibres. On the day of the storm, they will be put to the test.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
13,"Akili ni mali, akili nyingi huondoa maarifa","Knowledge is wealth, but too much knowledge can lead to a loss of understanding.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
14,Akili ni nywele kila mtu ana zake,Everyone has their own intelligence.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
15,Akili nyingi huondoa maarifa,Too much knowledge can lead to a loss of understanding.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
16,Akufaaye kwa dhiki ndiye rafiki,A true friend is someone who is there for you in times of trouble.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
17,"Akutendaye mtende, mche asiyekutenda","He who does you good, do for him good and who does you wrong, ignore them.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
18,Aliye juu mngoje chini,He who is on top will eventually come down.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
19,Aliye kando haangukiwi na mti,He who is standing far from the tree will not be fallen down by it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
20,Aliyekula kitovu chako hatakuachia utumbo,He who has eaten your navel will not leave you with a stomach.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
21,Aliyekunyima kunde/mbaazi amekupungunguzia mashuzi,He who has denied you beans has reduced your stew.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
22,Aliyekunyoa shungi kakupunguzia kuchana,He who has shaved your hair has reduced your combing.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
23,Aliyetota hajui kutota,He who has not experienced something does not know how to deal with it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
24,Aliyeumawa na nyoka akiona unyasi hushituka,He who has been bitten by a snake is startled by the sight of grass.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
25,Amani haipatikani ila kwa ncha ya upanga,Peace can only be achieved through violence.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
26,Amnyimaye punda adesi ampunguzia mashuzi,He who has denied the donkey a saddle has reduced its load.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
27,Anayemwamini Mungu si mtovu,He who believes in God is not dishonest.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,A,sw,
